"cancer_abs"	"lympho_abs"	"myelo_abs"	"stroma_abs"	"Bcells_abs"	"NK_abs"	"PlasmaCells_abs"	"Tcells_abs"	"CD8_abs"	"CD4_abs"	"Tgd_abs"	"CD8_naive_abs"	"CM_CD8_abs"	"EM_CD8_abs"	"EMRA_CD8_abs"	"Th1_abs"	"Th2_abs"	"Th17_abs"	"Treg_abs"	"Tfh_abs"	"dendritic_abs"	"granulocytes_abs"	"macro_abs"	"monocytes_abs"	"plasmacytoid_abs"	"M1_abs"	"M2_abs"
"GSM1683545"	0.146666293041635	0.0122007644304065	0.278172553540837	0.562960388987137	0.00717061616315798	0.000746542670219589	0.00218343112651268	0.00210017447051622	0.00199112261720676	4.93874334537309e-05	5.96644198557259e-05	-6.19467308004119e-23	3.61600087315433e-05	1.32274247221876e-05	-1.061501060623e-20	1.00901019233715e-20	0.00111738355066996	-4.84041807589738e-21	0.000862234330217662	1.15047363191384e-05	0.00424137677995979	0.00452096738688489	0.0174797754642544	0.251930433909738	5.52634901112291e-20	0.0174797754642545	1.63640217816602e-19
"GSM1683546"	0.729284452146365	5.02459143433145e-17	0.00866845420213259	0.124397986741576	1.32871620508633e-17	1.04240439219542e-18	3.16436819117361e-17	4.27266598851967e-18	4.16317472288582e-18	1.09491265633849e-19	0	0	-2.05147500147834e-38	1.09491265633849e-19	-1.19024410925749e-36	1.50572843120042e-19	3.75372297374458e-18	9.76832112070786e-36	2.32452138905198e-19	2.64267671159955e-20	0.000551051691534501	0.000255713778158862	0.0061397801429297	0.00160048901780574	0.000121419571703798	0.00613978014292975	0
"GSM1683549"	0.164847146397065	0	0.113742748635702	0.630189409747168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000503408363490552	0.00899771629503129	0.0754759032766755	0.028765720700505	2.42467434366869e-20	0.0754759032766765	-1.92530568023204e-19
"GSM1683554"	0.701767093359736	0.0365767485332083	0.042324855784935	0.0962549647078354	0.0124241767491195	0.00111185857813062	0.0194322879487056	0.00360842525725252	0.00345213209640379	6.90763373593715e-05	8.72168234893622e-05	-1.00688301207313e-22	-5.83980363651599e-20	6.90763373593715e-05	-7.82772412951776e-22	5.8382570437264e-20	0.00252934822259587	-7.49942261035976e-21	0.000910831998980134	1.19518748277786e-05	0.00110594765957381	0.000581623660571178	0.0300795170943747	0.0092024132269454	0.0013553541434699	0.0300795170943748	0
"GSM1683557"	0.705221632164336	-2.7330103091249e-17	0.0838556676385896	0.143420918345995	-6.09179036613535e-18	-5.42588437591018e-19	-1.84583842377508e-17	-2.23734004977188e-18	-2.18350672413728e-18	-5.3833325634602e-20	-1.9707161533671e-37	2.02171138426148e-38	2.72076556888949e-37	-5.3833325634602e-20	2.67545075266261e-36	6.84004300390341e-36	-1.29694447778695e-18	-4.51676565289286e-36	-8.7469747055655e-19	-1.18647757937741e-20	0.00296496708491066	0.00333697658089743	0.0608501458539438	0.0157051921140991	0.000998386004738643	0.0608501458539441	0
"GSM1683566"	0.380082340739376	5.74242804689699e-17	0.103597504466984	0.516320154793641	-8.18874574398941e-34	3.38275773930724e-19	5.3858202366069e-17	3.22780232897014e-18	3.11818398960388e-18	1.09618339366236e-19	4.01614569236598e-36	1.83519696654053e-36	-1.72628754399539e-35	1.09618339366236e-19	-3.35779408419868e-35	4.19734714592004e-35	1.61905683699217e-18	0	1.4646529335136e-18	3.44742190981111e-20	0.0028607808411532	0.00323404300264314	0.0674804914549997	0.0289412486727692	0.00108094049541843	0.0674804914550001	2.96977155245352e-18
"GSM1683568"	0.631982461376225	0.0341906914088676	0.03147646147174	-5.0887064111029e-18	-9.79682007959925e-19	0.000222837087613287	0.0327877173146848	0.00118013700656959	0.00113399578210196	4.61412244676338e-05	1.02360568508263e-21	7.7369342369701e-06	3.20169061177279e-22	3.84042902306637e-05	1.9338171643474e-23	5.7086946199433e-20	0.000838021820371111	6.89349019386981e-22	0.000291878548359418	4.09541337142538e-06	0.00209621272520332	0.000930903327220153	0.0164205076884919	0.0106475049396422	0.00138133279118248	0.00881287316441297	0.00760763452407889
"GSM1683571"	0.91625296310471	1.0694982189946e-17	0.0254428020090617	0.0583042348862316	1.82752103952089e-35	6.10728535763931e-20	1.02353362027913e-17	3.98573133578383e-19	3.8911307159453e-19	9.46006198385315e-21	0	1.77302327551249e-21	-3.55319608730837e-37	7.68703870834066e-21	2.13358534650104e-37	-7.9227706300329e-36	3.40973737353412e-19	-9.4764290681014e-38	4.67861175485557e-20	1.35321669256206e-21	0.00216309119016952	0.000968460203802896	0.0162872930097711	0.00552770068725698	0.000496256918061235	0.0162872930097712	0
"GSM1683576"	0.752824276741405	0.0716682416457987	0.0804848844227547	0.0950225971900425	0.0510983519286654	0.00732684262301749	0.011360585602369	0.00188246149174681	0.001815562088153	4.1156747032273e-05	2.57426565615394e-05	-1.63141761308874e-23	0	4.1156747032273e-05	1.15733536006938e-21	0.000175960101763127	0.000812992495306288	2.59598075690448e-20	0.000826609491083581	0	0	0.00129972113453978	0.0511303886145357	0.0277346948387964	0.000320079834882777	0.0511303886145364	-1.29049018330954e-20
"GSM1683578"	0.863263342839045	0.0539210344325786	0.016831172772246	0.0659844499562953	1.55519143486492e-19	0.000283170348580552	0.0508560996988685	0.00278176438512952	0.0026954570263057	8.63073588238167e-05	0	1.61892590663299e-05	-9.66936047471131e-22	7.01180997574869e-05	1.82499535110354e-21	0.000541984112474016	0.0020558184912995	-3.39499467567086e-20	8.89514325515036e-05	8.70298998068069e-06	0.000262214551310854	7.93287543354037e-05	0.0152919019433735	0.000912942533407236	0.000284784989819029	0.0152919019433736	-9.6392726017108e-20
"GSM1683582"	0.761745635223682	1.10626596437189e-16	0.0560341497887545	0.182220214987564	0	5.39267871303036e-19	1.0526733387982e-16	4.81999468606524e-18	4.6451931639981e-18	1.30060103472291e-19	4.47414185948518e-20	-2.38488901622658e-36	0	1.30060103472291e-19	1.23166067106913e-35	4.58683603831039e-35	2.32361915048363e-18	-2.1241190643494e-36	2.29837030028935e-18	2.32037132251255e-20	0.0016932795348679	0.00263991799180876	0.0417267917104715	0.00923357352939711	0.000740587022209192	0.0417267917104719	4.80597136582567e-19
"GSM1683587"	0.661506724599505	0.0314803451503847	0.0297399273803315	0.0587565440517482	0.0159217960875125	0.0027857010394124	0.00891037872762794	0.00386246929583189	0.00370187567064095	0.000104307767656942	5.62858575339933e-05	7.34438731402329e-21	7.88796645046394e-21	6.55904477968666e-05	3.87173198600753e-05	0.0036892543283104	4.98136226025449e-20	-7.77896175209581e-19	0	1.26213423305485e-05	0.000821051393012179	0.000382524048539642	0.0179670283421924	0.00961025334797489	0.000959070248612419	0.0179670283421925	-3.64682359476258e-20
"GSM1683588"	0.451683548163678	3.30432787625963e-16	0.0287344268578649	0.519582024978547	2.66656136699344e-34	1.9808803701759e-18	3.11267079955582e-16	1.71848273002056e-17	1.68759109509598e-17	3.08916349245726e-19	0	7.36393713766505e-36	2.27460543877503e-19	8.14558053682231e-20	-1.98785273478112e-35	-4.67834973191146e-34	8.60496333442723e-18	1.22132682142956e-35	8.19639787897712e-18	7.45497375554685e-20	0.000672401263514948	0.000105347450238829	0.0263551495131917	0.00128265626687133	0.000318872364048096	0.0263551495131919	0
"GSM1683589"	0.228167988509067	7.09254076022453e-18	0.0356811351481942	0.379839174584477	9.34959255619746e-35	5.12253460112185e-20	6.67754552005745e-18	3.63769894155858e-19	3.55113060595596e-19	8.6568335602629e-21	-1.81929745701913e-37	-1.54981434769498e-36	2.95594643378853e-39	8.6568335602629e-21	1.03546655820151e-36	-7.85449799968911e-36	1.90744842392426e-19	3.09761313947304e-40	1.50142025067568e-19	1.42261931356017e-20	0.00265580039958813	0.00123512459393961	0.0233587880531933	0.0078752159432044	0.000556206158268706	0.0233587880531934	-6.19792277279471e-19
"GSM1683593"	0.907032305700138	0.00519474479727279	0.0382591987565179	0.0440327778083578	0.000946461358263004	8.05052969909293e-05	0.00379323021123137	0.000374547930787529	0.000362163155252794	1.23847755347291e-05	0	-1.07420804323989e-23	9.53602170346887e-22	1.2384775534729e-05	-7.8884721307232e-24	1.41677866727761e-21	0.000289865338877287	7.82470385843985e-29	7.08671608126549e-05	1.43065556285186e-06	0.0035954243521011	0.00169266705488799	0.0204264937264435	0.0112626607549622	0.00128195286812312	0.0159187825499466	0.00450771117649692
