"Cell line 1"	"Cell line 2"	"Cell line 3"	"RMSE"	"Correlation"
"GSM1683587"	0.407136010836716	0.0988592361513361	0.494004753011948	611.968616994701	0.656692003288231
"GSM1683588"	0.016065880078523	0.0566949166325721	0.927239203288905	635.464178122238	0.538749963148489
"GSM1683589"	0.0789823594583355	0.454437187061749	0.466580453479917	623.075625972568	0.437527353139641
"GSM1683593"	0.633802475321442	0.024134315698106	0.342063208980453	565.040388191575	0.591640313030104
"GSM1683596"	0.266005809772818	4.85865287367864e-17	0.733994190227183	619.393402732212	0.674689949605184
"GSM1683597"	0.0998654378548337	0.0181229670490414	0.882011595096124	687.812648053044	0.467685821865554
"GSM1683598"	0.566622756698466	-1.0623016341469e-19	0.433377243301534	401.346400774217	0.642661801543008
"GSM1683599"	0.69269069876526	0.0492998071543496	0.258009494080391	524.070296155977	0.71433176849363
"GSM1683604"	0.0646993258770735	0.0484712309739171	0.886829443149011	650.44499849127	0.512087941477605
"GSM1683612"	0.100769869774069	0.0676279578439477	0.831602172381983	561.265810997458	0.490333786584883
"GSM1683613"	-3.18235919560792e-19	0.201792221502214	0.79820777849779	689.880922111908	0.46785485568108
"GSM1683614"	0.639196348050221	0.0182639923586264	0.342539659591153	520.939545670825	0.585525031936
"GSM1683615"	0.151088147208573	0.285579911962093	0.563331940829333	660.472394911904	0.49351588815481
"GSM1683619"	0.764442407598554	-8.89900097522186e-18	0.235557592401446	453.385221087693	0.597104440308029
"GSM1683622"	0.492162506760673	0.160588967152273	0.347248526087054	695.542768145506	0.521168585910307
"GSM1683624"	0.0426298260671219	-5.21934145271587e-19	0.957370173932882	635.379803398171	0.55632045124452
"GSM1683632"	-5.9833099155615e-18	0.214432823787774	0.785567176212227	655.053157925668	0.52994367229946
"GSM1683639"	5.58575659811638e-18	0.540004628825203	0.459995371174801	865.700306929815	0.282627087387302
"GSM1683640"	0.115070285412951	0.0467313208676512	0.838198393719399	753.569215524427	0.484841214992983
"GSM1683645"	0.423422559364592	0.0416265547701524	0.534950885865256	539.376059146144	0.68914197227408
